Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
0-1	1	Bachelors	Comp Sci & Math Double Major	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Software Engineer	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Design, Engineering, Leadership, Data Science/Analytics	4	2	2	4	2	0	ArcGIS, D3, Angular, Mapbox	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Raster Map	Department of Defense	Expert	Daily	Analysis, Summarization, Research	Collaborative	5	The data side of data visualization	Making things generic and flexible, without being unusable.	More Sankey, less pie/bar/blah	It's hard!	2	3			Mike Bostock	Same	Male	25 and lower	Michigan	Private sector
0-1	1	Masters	Design and Technology	Mostly from School	Examples	Intended to work in data visualization	Yes	Digital Designer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						1	0	0	7	0	2	D3, Excel, Illustrator, Carto	I'm able to choose my own tools.	Presentations	Pie Chart, Infographics, Flow Diagram	General Public, Executives	Moderate	Monthly	Summarization, PR/Branding	Collaborative	3	The design side of data visualization	I'm not sought to do enough of them	Easier to implement	The possibilities of what data viz technology can do	4	4	More time to invest in it	Case studies	Mike Bostock	More	Male	26-35	New York	Private sector
0-1	1	Masters	Multidisciplinary engineering	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing	Embedded in another group	Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	Data Science/Analytics	3	2	1.5	0.5	1	0	D3, Excel, R	I'm able to choose my own tools.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Treemap, Network Diagram, Sankey charts, Sunburst charts, Stacked bar chartd	Analysts, Product Managers, Project Managers, Executives, Marketers	Moderate	Weekly	Analysis, Summarization, Education, Intern communication	Collaborative	5	The design side of data visualization	Lack of data sometimes	Make it more customizable by users	How powerful it can be to summarize huge amounts of data	2	4			Mike Bostock	Same	Male	25 and lower	Germany	Private sector
0-1	1	Bachelors	Software Engineering	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Software Developer	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	No	IT	5	5	1		1	1	D3, Highcharts	We have a set list of tools we're expected to use for data visualization.	Dashboard, Static Web Page	Line Chart, Bar Chart, Pie Chart, Choropleth Map	General Public	Moderate	Daily	Analysis, Summarization	Collaborative	4	The design side of data visualization	Making custom changes inside the graphing library	Providing more readable items about a certain graphing library. And also creating communities for data Visualization	They think its an easy job to just draw graphs	1	5	Getting a scholarship or school where they teach data visualization from scratch	Answer questions asked instantly or advice in any way	Mike Bostock	Much more	Male	25 and lower	Uganda	Private sector
0-1	1	Bachelors	Medicine, Health and Society	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Data Analyst	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code)	Yes	Data Science/Analytics	3	1	0	2	1	0	D3, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Presentations	Line Chart, Scatterplot, Flow Diagram	General Public, Executives	Expert	Hourly	Analysis, Summarization, PR/Branding	Collaborative	5	The data side of data visualization	Not getting paid enough for it	Salary		3	3			Mike Bostock	Much more	Male	25 and lower	Tennessee	Private sector
0-1	1	Bachelors	Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Metallurgist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	Completely custom (Processing, D3, custom code)	Yes	Engineering, Data Science/Analytics	2	2	0	1	0	1	D3, Excel	I'm able to choose my own tools.	Dashboard, Static Web Page	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap	Analysts, Engineers, Project Managers, Executives	Moderate, Expert	Monthly	Analysis, Summarization	Consultative	4	The design side of data visualization	People wanting to get everything out of a visualization, without regard for the impact on the vis itself.	Less is more. Convey more detail with less vis crowding	Vis doesn't need to do everything. Screen clutter.	3	4	Streamlining of the workflow. Better bug/issue tracking		Mike Bostock	Same	Male	26-35	British Columbia	Private sector
0-1	1	Masters	Interaction Design	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Information Designer	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Consultant/Contractor/Freelancer						5	0	0	2	1	0	D3, React, Typescript	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page	Line Chart, Bar Chart, Scatterplot, Infographics, Network Diagram, Choropleth Map, Area chart	General Public, Analysts, Scientists, Public sector decision-makers	Moderate, Expert	Monthly	Journalism, Analysis, Summarization, Education, Research	Collaborative	5	The design side of data visualization		More sketching		2	3		More reasoning and techniques. 	Nadieh Bremer	Same	Male	26-35	Finland	Private sector
0-1	1	Bachelors	Math 	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	No	Developer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						2	4	2	1	3	1	D3, ggplot, Plotly, R, React, Vega	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Scatterplot	General Public, Project Managers, Executives	Intro	Monthly	Analysis, Summarization	Consultative	3	The design side of data visualization				3	4	Ease of getting help/guide on DataViz 	Guidelines and best practices 	Nadieh Bremer 	Same	Male	36-45	Asia	Private sector
0-1	1	Bachelors	Computer Science and Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Software Engineer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Communication, Exploration	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Excel/PowerPoint	Don't Know	Design, Engineering, Research, Data Science/Analytics	1	3	2	1	1	0	D3, ggplot, Leaflet, Mapbox, Plotly, Python, React, Web Components	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Scatterplot, Infographics, Network Diagram, Choropleth Map, Flow Diagram	General Public	Moderate	Daily	Analysis, Summarization, Research	Collaborative	3	The design side of data visualization				5	5			Pudding	Much more	Male	25 and lower	India	Private sector
0-1	1	Masters	Math	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Performance Architect	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication	Embedded in another group	Completely custom (Processing, D3, custom code)	Yes	Engineering	4	2	2	1	4	2	D3, React, WebGL	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Network Diagram, 3D Charts	Analysts, Engineers, Product Managers, Project Managers	Moderate	Weekly	Analysis, Summarization	Consultative	3	The design side of data visualization	Lack of skill	Make everything easy to learn 	Knowledge gained through iterative design 	3	5	Better examples of my domain area 	Ways of learning WebGL faster		Much more	Male	26-35	UK	Private sector
0-1	1	Masters	Computer Science	Mostly Self-Taught	Books	Intended to work in data visualization	No	Technical Project Manager	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Communication, Marketing, Exploration	Embedded in another group	Excel/PowerPoint	No	Leadership, Data Science/Analytics	1	1	0	0	0	0.5	Excel, ggplot, Gephi, Python, R, Tableau	I'm able to choose my own tools.	Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map	General Public, Product Managers, Project Managers	Moderate	Monthly	Analysis	Collaborative	3	The data side of data visualization				1	4				Much more	Female	36-45	Illinois	Private sector
0-1	1	Bachelors	Supply Chain management	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Engineering	1	3	0	0.25	2	0.1	Excel, ggplot, Power BI, R, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot	Analysts, Operations 	Intro, Moderate	Weekly	Analysis, Education	Collaborative	2	The design side of data visualization	No peers to learn from	Be part of a bigger team of data viz skilled people	Nuances, not everything is black and white	4	1	A mentor			Much more	Male	26-35	Netherlands	Private sector
