Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Equal Parts School and Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Scientist,$20k - $40k,$35.00,"Analysis, Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",3,,2,5,5,1,10,10,"Cytoscape, Excel, ggplot2, R, Pen & Paper",I'm able to choose my own tools.,"Static Web Page, Interactive Notebook, Documents, Presentations, Email","Line Chart, Scatterplot, Dendrogram, Network Diagram",Scientists,Expert,Weekly,"Analysis, Summarization, Research",Subordinate,5,Explaining importance of visualization to superiors.,Have more time for it.,"That it is more than just attention grabbing, but can increase insight if done correctly.",5,5,3,More time.,,Hans Rosling,Much more,4,Masters,Academic,Biology,Man,"No, but I identify as an Ally","Loveland, CO",USA,English
Mostly Self-Taught,"Books, Working through a project",Improving my design skills,Yes,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Analyst,$40k - $60k,$113.00,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",Both,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,I'm a freelancer or otherwise not in a large organization and so this doesn't apply,10,0,20,5,5,1,"D3, Tableau",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Static Web Page","Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap","General Public, Analysts, Scientists, Product Managers","Intro, Moderate, Expert",Weekly,Analysis,Collaborative,3,"No time to code the solutions with web-based libraries. ""Always"" need to use tools such as Tableau to get things done quickly",Spend more time doing creative visualizations that are weel paid,,5,3,3,Have more educated customers with clear ideas of what they want,More open source examples and MOOCs,Mike Bostock,More,10,PhD,Private sector,AI and visualization,Man,No,Barcelona,Spain,"Catalan, Spanish, English"
Equal Parts School and Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Analyst,$80k - $100k,$40.00,"Analysis, Summary/Overview, Communication, Storytelling, Policy Briefing",Both,"Business Intelligence Tools (like Tableau), Enterprise GIS platform (ESRI)",4,"Research, Data Science/Analytics",8,0,0,4,4,8,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Power BI, QGIS, R, Tableau, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Scrollytelling, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Infographics, Choropleth Map","Analysts, Executives",Moderate,Weekly,Policy Development,Consultative,2,Lack of collaborators/isolation,It would become my sole focus,How good it could be if properly resourced,5,3,5,one additional data management staff,How to better use dataviz for urban planning and policy development,Alberto Cairo,Much more,5,Masters,Public sector,,Man,No,Toronto,Canada,English
Mostly Self-Taught,"Books, Workshops, Video Tutorials",Learning a new technical tool or library,Occasional,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Academic,$100k - $120k,$175.00,"Analysis, Communication, Exploration, Storytelling, Education",Embedded in another group,"Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6,"Design, Marketing",4,0,0,40,4,0,"ArcGIS, Excel, Illustrator, R, Pen & Paper, Other physical materials",I'm able to choose my own tools.,"Scrollytelling, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Infographics, Pictorial Visualization, Treemap, Network Diagram","General Public, Executives, Designers, Clients",Moderate,Not tracked / Unknown,"Analysis, Summarization, Education",Consultative,3,Keeping up with new tools,Learning new tools to keep pace,A great diagram explains complex topics simply; if I'm doing my job they will never realize how complex the original material is/was.,5,5,2,,Nothing in addition to those on the SLACK - loving the inspiration and communication there!,"IDEO, David McCandless, Stefan Sagmeister",More,10,Masters,Academic,Architecture,Man,"No, but I identify as an Ally","Savannah, GA",USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Executing a new complex project to both improve existing and develop new skills,Yes,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,"Leadership (Manager, Director, VP, etc)",$200k+,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Simplified custom visualizations in standard office tools for presentation purposes (e.g., PowerPoint/Excel)",2,Data Science/Analytics,,,,,,,"D3, Angular, Excel, ggplot2, Gephi, Illustrator, Power BI, Python, R, Tableau, Pen & Paper, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart), Swarm Chart","Analysts, Engineers, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Education",Consultative,1,,,,5,3,2,,,,More,,Masters,Private sector,,Man,"No, but I identify as an Ally",,,
Mostly Self-Taught,"Workshops, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$20k - $40k,$100.00,"Analysis, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",,I'm a freelancer or otherwise not in a large organization and so this doesn't apply,5,5,10,1,20,5,"Excel, ggplot2, Gephi, Python, R",I'm able to choose my own tools.,"Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Dendrogram, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","General Public, Analysts, Scientists",Moderate,Not tracked / Unknown,"Journalism, Analysis, Summarization, Research",Collaborative,4,I'm a phd student so everything is frustrating,,,2,4,4,Cleaner data to start with!,,"Amy Cesal, Alberto Cairo, Giorgia Lupi, Hadley Wickham",Much more,7,Masters & ABD,Academic,Interdisciplinary Social Studies,Man,"No, but I identify as an Ally",Ann Arbor,USA,English
Mostly From School (or other formal courses),"Workshops, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,None of these describe my role,$80k - $100k,$43.00,"Analysis, Summary/Overview, Communication, Storytelling, Education, Community outreach, participatory planning ",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5,Project specific - community outreach,10,0,3,5,1,0,"ArcGIS, Excel, Illustrator, Mapbox, kepler.gl, Plotly, Python, QGIS, Tableau, Matplotlib",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Static Web Page, Interactive Notebook, Documents, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Network Diagram, Choropleth Map",General Public,"Intro, Moderate",Not tracked / Unknown,"Analysis, Summarization, Education, Research",Collaborative,5,Only staff member doing data viz,More open source public data sets in standard format,How long it takes,1,5,5,More public open datasets in standard format,Designing for general public,Geoff Boeing,More,2,Masters,Not-for-profit,Economics ,Man,Yes,West Hollywood,USA,"English, Spanish"
Mostly Self-Taught,"Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Analyst,$40k - $60k,,"Summary/Overview, Marketing",Separate data visualization group,Business Intelligence Tools (like Tableau),3,"Marketing, Data Science/Analytics",2,1,15,0,15,20,"R, Tableau",I'm able to choose my own tools.,Dashboard,"Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Project Managers",Moderate,Weekly,Summarization,Consultative,2,The end user prefers a spreadsheet.,Less tableau,,4,5,2,,,,More,2,Bachelors,Private sector,Mathematics - Statistics,Man,No,Milwaukee,USA,English
Mostly Self-Taught,"Workshops, Examples, Working through a project, Mentoring/Teaching others",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,Less,Designer,,,"Analysis, Summary/Overview, Communication, Marketing, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Marketing, Research",,,,,,,"D3, Excel, React, Tableau, Vue",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap, Swarm Chart, Force-Directed Graph","General Public, Analysts, Project Managers, Executives","Intro, Moderate, Expert",Not tracked / Unknown,"Education, Research, PR/Branding",Consultative,5,"People rejecting ideas that would improve their DV because ""it's always been done that way.""",Have more authority when it comes to enforcing DV standards.,How to use data visualization for storytelling.,1,3,2,,Advice on how to disseminate and enforce data visualization best practices.,,More,8,Masters,Not-for-profit,,Man,No,,USA,
Mostly Self-Taught,"Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Engineer,"Less than $20,000",,"Analysis, Summary/Overview, Exploration",There are no specialists in data visualization in my organization,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,Engineering,10,0,10,0,8,6,"Excel, ggplot2, Plotly, Python, R",I'm able to choose my own tools.,"Dashboard, Static Web Page, Presentations","Line Chart, Bar Chart, Scatterplot","Analysts, Engineers, Executives",Moderate,Not tracked / Unknown,"Analysis, Summarization",Subordinate,4,My lack of knowledge,Add more interactive graphics,,4,5,3,,,,More,3,Masters,Energy sector,,Man,No,San Salvador,El Salvador,Spanish
Mostly Self-Taught,"Workshops, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$20k - $40k,$15.00,"Analysis, Summary/Overview, Communication, Marketing",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Marketing, Data Science/Analytics",2,16,2,0,12,0,"Excel, Python, Tableau, Matplotlib",I'm able to choose my own tools.,"Dashboard, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Flow Diagram (Sankey, DAGRE, Flow Chart)",Executives,"Intro, Moderate",Weekly,"Analysis, Summarization, PR/Branding",Collaborative,4,I have lots of other things to do. Mainly setting up connections to data collection services and databases,Visualize off raw data more as a possed to summarized data ,Finding the right data to answer questions,4,1,3,When everything is stored in a single central databases,,,More,1,Bachelors,Private sector,Chemistry,Man,No,London,United Kingdom,English
